Nombre,URL,Precio,Precio_Dolar,Precio_Euro
CADAVER EXQUISITO,https://cuspide.com/producto/cadaver-exquisito-2/,10499.0,28.73,27.12
LA SOCIEDAD DEL CANSANCIO,https://cuspide.com/producto/la-sociedad-del-cansancio/,5950.0,16.28,15.37
LOS VESTIDOS DE LENA,https://cuspide.com/producto/los-vestidos-de-lena/,7999.0,21.89,20.66
TWISTED 2 . TWISTED GAMES,https://cuspide.com/producto/twisted-2-twisted-games/,9900.0,27.09,25.57
BORN Y QUIETO,https://cuspide.com/producto/born-y-quieto/,11800.0,32.28,30.47
HISTORIAS DE DIVAN . DIEZ RELATOS DE VIDA,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,7500.0,20.52,19.37
COMO SER UN ESTOICO,https://cuspide.com/producto/como-ser-un-estoico/,8600.0,23.53,22.21
LAS AVENTURAS DE LYNA Y DANI : ELIGE TU HISTORIA,https://cuspide.com/producto/las-aventuras-de-lyna-y-dani-elige-tu-historia/,3999.0,10.94,10.33
LOS DIVAGANTES,https://cuspide.com/producto/los-divagantes/,10950.0,29.96,28.28
MISERIA,https://cuspide.com/producto/miseria/,7599.0,20.79,19.63
NOSOTROS EN LA LUNA,https://cuspide.com/producto/nosotros-en-la-luna/,13900.0,38.03,35.9
EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari/,10599.0,29.0,27.38
